DATA,LOGIN,NOME_INDICADO,NUMERADOR,DENOMINADOR,GRUPO_AGENTE
2024-04-12,Agente_24,Nota de Qualidade,1,4,Grupo_3
2024-12-14,Agente_16,Nota de Qualidade,2,4,Grupo_4
2024-09-27,Agente_9,TMA,432,135,Grupo_4
2024-04-16,Agente_27,CSAT,46,6,Grupo_3
2024-03-12,Agente_17,CSAT,27,30,Grupo_1
2024-07-07,Agente_17,CSAT,26,69,Grupo_0
2024-01-21,Agente_44,CSAT,38,35,Grupo_2
2024-04-12,Agente_31,Nota de Qualidade,6,3,Grupo_4
2024-05-01,Agente_13,Nota de Qualidade,5,8,Grupo_2
2024-08-02,Agente_15,TMA,344,15,Grupo_0
2024-11-26,Agente_49,Nota de Qualidade,9,3,Grupo_4
2024-03-28,Agente_17,Nota de Qualidade,4,9,Grupo_2
2024-04-09,Agente_15,TMA,907,114,Grupo_0
2024-12-25,Agente_16,TMA,77,52,Grupo_2
2024-05-31,Agente_6,TMA,148,83,Grupo_1
2024-05-10,Agente_11,Nota de Qualidade,9,6,Grupo_0
2024-05-29,Agente_33,Nota de Qualidade,8,4,Grupo_2
2024-11-04,Agente_9,TMA,800,43,Grupo_1
2024-09-14,Agente_4,TMA,142,170,Grupo_1
2024-12-09,Agente_20,TMA,925,40,Grupo_0
2024-10-20,Agente_2,Nota de Qualidade,1,1,Grupo_3
2024-07-10,Agente_18,Nota de Qualidade,9,2,Grupo_4
2024-10-03,Agente_44,CSAT,35,70,Grupo_0
2024-06-09,Agente_43,Nota de Qualidade,6,7,Grupo_1
2024-11-09,Agente_34,Nota de Qualidade,6,4,Grupo_1
2024-01-22,Agente_5,Nota de Qualidade,4,3,Grupo_0
2024-09-09,Agente_13,TMA,629,100,Grupo_3
2024-08-23,Agente_3,Nota de Qualidade,6,9,Grupo_4
2024-12-10,Agente_44,TMA,1071,152,Grupo_2
2024-02-18,Agente_17,CSAT,75,53,Grupo_0
2024-02-28,Agente_28,CSAT,92,23,Grupo_4
2024-06-18,Agente_34,TMA,904,82,Grupo_4
2024-07-06,Agente_37,TMA,1171,112,Grupo_1
2024-09-27,Agente_15,TMA,665,69,Grupo_2
2024-07-08,Agente_19,Nota de Qualidade,9,6,Grupo_0
2024-06-23,Agente_23,CSAT,57,47,Grupo_1
2024-02-20,Agente_34,TMA,580,22,Grupo_1
2024-12-29,Agente_43,Nota de Qualidade,6,1,Grupo_3
2024-02-24,Agente_18,CSAT,8,3,Grupo_4
2024-08-31,Agente_3,Nota de Qualidade,8,4,Grupo_0
2024-11-15,Agente_32,CSAT,24,88,Grupo_0
2024-05-10,Agente_1,Nota de Qualidade,6,4,Grupo_0
2024-11-02,Agente_12,CSAT,88,20,Grupo_1
2024-05-14,Agente_44,CSAT,80,54,Grupo_3
2024-01-21,Agente_29,Nota de Qualidade,3,3,Grupo_2
2024-11-24,Agente_33,TMA,503,174,Grupo_1
2024-06-15,Agente_29,CSAT,2,92,Grupo_2
2024-09-30,Agente_23,TMA,785,156,Grupo_3
2024-03-29,Agente_47,Nota de Qualidade,4,8,Grupo_4
2024-11-11,Agente_43,TMA,489,89,Grupo_0
2024-01-14,Agente_32,TMA,257,40,Grupo_2
